pagetitle|tv1|tv2|tv3|tv4|tv5|tv6|tv7
"XXl век"|"GB-0001",1,"226/189,5/59,5"|"ольха"|"XXl век"|"Детские"|"Гербор"
"Адась"|"GB-0002",1,"267/196/56"|"яблоня темная/орех аоста темный"|"Адась"|"Гостинная"|"Гербор"
"4S"|"GB-0003",1,"85/92/45"|"Корпус:венге магия;Фасад: зебрано-африканское/венге светлое/маккасар"|"Амадеус"|"комод"|"Гербор"
"5S"|"GB-0004",1,"59,5/113/45"|"Корпус:венге магия;Фасад: зебрано-африканское/венге светлое/маккасар"|"Амадеус"|"комод"|"Гербор"
"Секция РТВ"|"GB-0005",1,"210/219/50,5"|"Корпус:венге магия;Фасад: зебрано-африканское/венге светлое/маккасар"|"Амадеус"|"Тумбы РТВ"|"Гербор"
"Пенал угловой"|"GB-0006",1,"35/219/35"|"Корпус:венге магия;Фасад: зебрано-африканское/венге светлое/маккасар"|"Амадеус"|"Пенал"|"Гербор"
"Шкаф"|"GB-0007",1,"99,6/219/50,6"|"Корпус:венге магия;Фасад: зебрано-африканское/венге светлое/маккасар"|"Амадеус"|"Шкаф"|"Гербор"
"Пенал"|"GB-0008",1,"52,1/219/35,1"|"Корпус:венге магия;Фасад: зебрано-африканское/венге светлое/маккасар"|"Амадеус"|"Пенал"|"Гербор"
"Астерикс"|"GB-0009",1,"330/200,5/50,5"|"Корпус:венге магия;Фасад: зебрано-африканское/венге светлое/маккасар"|"Астерикс"|"Гостинная"|"Гербор"
"Болеро"|"GB-0010",1,"335/213/54"|"орех экко"|"Болеро"|"Гостинная"|"Гербор"
"Стол журнальный "|"GB-0011",1,"110/53,5/60"|"орех экко"|"Борис"|"Журнальные столики"|"Гербор"
"КОМОД 60"|"GB-0012",1,"60/74/52"|"орех экко"|"Борис"|"комод"|"Гербор"
"КОМОД 90"|"GB-0013",1,"90/74/52"|"орех экко"|"Борис"|"комод"|"Гербор"
"Тумба РТВ"|"GB-0014",1,"90/46,5/52"|"орех экко"|"Борис"|"Тумбы РТВ"|"Гербор"
"Шкаф угловой  "|"GB-0015",1,"90/235,5/35,5-90"|"Ольха/орех экко"|"Борис"|"Шкаф"|"Гербор"
"Шкаф"|"GB-0016",1,"90/235,5/52"|"Ольха/орех экко"|"Борис"|"Шкаф"|"Гербор"
"Шкаф бельевой"|"GB-0017",1,"90/194,5/35,5"|"Ольха/орех экко"|"Борис"|"Шкаф"|"Гербор"
"Бар(надставка)"|"GB-0018",1,"90/194,5/35,5"|"Ольха/орех экко"|"Борис"|"Шкаф"|"Гербор"
"Секция РТВ (надставка)"|"GB-0019",1,"90/194,5/35,5"|"Ольха/орех экко"|"Борис"|"Шкаф"|"Гербор"
"Витрина РТВ (надставка)"|"GB-0020",1,"90/194,5/35,6"|"Ольха/орех экко"|"Борис"|"Шкаф"|"Гербор"
"Витрина высокая"|"GB-0021",1,"60/235,5/35,5"|"Ольха/орех экко"|"Борис"|"Шкаф"|"Гербор"
"Витрина (надставка)"|"GB-0022",1,"60/194,5/35,5"|"Ольха/орех экко"|"Борис"|"Шкаф"|"Гербор"
"Пенал"|"GB-0023",1,"60/235,5/35,5"|"Ольха/орех экко"|"Борис"|"Шкаф"|"Гербор"
"Пенал с укосом"|"GB-0024",1,"50/235,5/35,5-52"|"Ольха/орех экко"|"Борис"|"Шкаф"|"Гербор"
"Пенал угловой"|"GB-0025",1,"35,5/235,5/35,5"|"Ольха/орех экко"|"Борис"|"Шкаф"|"Гербор"
"Подставка 90"|"GB-0026",1,"90/41/52"|"Ольха/орех экко"|"Борис"|"Шкаф"|"Гербор"
"Подставка 60"|"GB-0027",1,"60/41/52"|"Ольха/орех экко"|"Борис"|"Шкаф"|"Гербор"
"Комод 4S/60"|"GB-0028",1,"60/85/48"|"Ольха,каштан"|"Валерия"|"комод"|"Гербор"
"Комод  4S/90"|"GB-0029",1,"90/85/48"|"Ольха,каштан"|"Валерия"|"комод"|"Гербор"
"Комод  4S/1D"|"GB-0030",1,"105/85/48"|"Ольха,каштан"|"Валерия"|"комод"|"Гербор"
"Комод 8S"|"GB-0031",1,"120/85/48"|"Ольха,каштан"|"Валерия"|"комод"|"Гербор"
"Кровать 90"|"GB-0032",1,"106/84,5/209"|"Ольха,каштан"|"Валерия"|"Кровать"|"Гербор"
"Кровать 160"|"GB-0033",1,"174/88,5/209"|"Ольха,каштан"|"Валерия"|"Кровать"|"Гербор"
"Стол туалетный"|"GB-0034",1,"137/162/40"|"Ольха,каштан"|"Валерия"|"Столы"|"Гербор"
"Шкаф A"|"GB-0035",1,"98/210/62"|"Ольха"|"Валерия"|"Шкаф"|"Гербор"
"Шкаф B"|"GB-0036",1,"98/210/62"|"Ольха"|"Валерия"|"Шкаф"|"Гербор"
"Шкаф C"|"GB-0037",1,"53/210/62"|"Ольха"|"Валерия"|"Шкаф"|"Гербор"
"Шкаф D"|"GB-0038",1,"53/210/62"|"Ольха"|"Валерия"|"Шкаф"|"Гербор"
"Шкаф E"|"GB-0039",1,"83/210/62"|"Ольха"|"Валерия"|"Шкаф"|"Гербор"
"Шкаф F"|"GB-0040",1,"83/210/62"|"Ольха"|"Валерия"|"Шкаф"|"Гербор"
"Шкаф G"|"GB-0041",1,"117/210/119"|"Ольха"|"Валерия"|"Шкаф"|"Гербор"
"Комод H"|"GB-0042",1,"105/85/48"|"Ольха"|"Валерия"|"Комод"|"Гербор"
"Тумба прикроватная K"|"GB-0043",1,"48/59/43"|"Ольха"|"Валерия"|"Тумба"|"Гербор"
"Кровать(каркас) L"|"GB-0044",1,"174/88,5/209"|"Ольха"|"Валерия"|"Кровать"|"Гербор"
"Стол туалетный M"|"GB-0045",1,"137/162/40"|"Ольха"|"Валерия"|"Стол"|"Гербор"
"Зеркало"|"GB-0046",1,"105/75/2,4"|"Ольха"|"Валерия"|"Зеркало"|"Гербор"
"Шкаф 1d"|"GB-0047",1,"53/222/62"|"Ольха/каштан"|"Валерия"|"Шкаф"|"Гербор"
"Шкаф 1d4s"|"GB-0048",1,"53/222/62"|"Ольха/каштан"|"Валерия"|"Шкаф"|"Гербор"
"Шкаф 2d"|"GB-0049",1,"83/222/62"|"Ольха/каштан"|"Валерия"|"Шкаф"|"Гербор"
"Шкаф 2d2s"|"GB-0050",1,"83/222/62"|"Ольха/каштан"|"Валерия"|"Шкаф"|"Гербор"
"Шкаф 2d 005"|"GB-0051",1,"98/222/62"|"Ольха/каштан"|"Валерия"|"Шкаф"|"Гербор"
"Шкаф 2d 006"|"GB-0052",1,"98/222/62"|"Ольха/каштан"|"Валерия"|"Шкаф"|"Гербор"
"Шкаф 3d 2s"|"GB-0053",1,"143/222/62"|"Ольха/каштан"|"Валерия"|"Шкаф"|"Гербор"
"Шкаф 4d2s"|"GB-0054",1,"188/222/62"|"Ольха/каштан"|"Валерия"|"Шкаф"|"Гербор"
"Шкаф уголовой 2dn"|"GB-0055",1,"117/222/119"|"Ольха/каштан"|"Валерия"|"Шкаф"|"Гербор"
"Шкафчик навесной 4d"|"GB-0056",1,"175/83/42"|"Ольха/каштан"|"Валерия"|"Шкаф"|"Гербор"
"Зеркало 60/90"|"GB-0057",1,"60/90/2,4"|"Ольха/каштан"|"Валерия"|"Зеркало"|"Гербор"
"Зеркало 75/105"|"GB-0058",1,"105/75/2,4"|"Ольха/каштан"|"Валерия"|"Зеркало"|"Гербор"
"Тумба прикроватная "|"GB-0059",1,"48/58/43"|"Ольха/каштан"|"Валерия"|"Тумба"|"Гербор"
"Стол журнальный "|"GB-0060",1,"110/53,5/60"|"яблоня темная/орех аоста темный"|"Виктор"|"Журнальные столики"|"Гербор"
"Тумба ртв"|"GB-0061",1,"80/51,5/50"|"яблоня темная/орех аоста темный"|"Виктор"|"Тумбы РТВ"|"Гербор"
"Витрина 90(надставка)"|"GB-0062",1,"97,4/160,7/45,5"|"яблоня темная/орех аоста темный"|"Виктор"|"Шкаф"|"Гербор"
"Шкаф бельевой (надставка)"|"GB-0063",1,"90/149/32"|"яблоня темная/орех аоста темный"|"Виктор"|"Шкаф"|"Гербор"
"Бар( надставка)"|"GB-0064",1,"90/149/32"|"яблоня темная/орех аоста темный"|"Виктор"|"Шкаф"|"Гербор"
"Ртв(надставка)"|"GB-0065",1,"90/149/36"|"яблоня темная/орех аоста темный"|"Виктор"|"Шкаф"|"Гербор"
"Витрина-бар (надставка)"|"GB-0066",1,"90/149/32"|"яблоня темная/орех аоста темный"|"Виктор"|"Шкаф"|"Гербор"
"Витрина-шкаф бельевой(надставка)"|"GB-0067",1,"90/149/32"|"яблоня темная/орех аоста темный"|"Виктор"|"Шкаф"|"Гербор"
"Подставка 90 2s"|"GB-0068",1,"90/53/50"|"яблоня темная/орех аоста темный"|"Виктор"|"Шкаф"|"Гербор"
"Подставка 90 2d"|"GB-0069",1,"90/53/50"|"яблоня темная/орех аоста темный"|"Виктор"|"Шкаф"|"Гербор"
"Витрина(надставка)"|"GB-0070",1,"88/161/145,5"|"яблоня темная/орех аоста темный"|"Виктор"|"Шкаф"|"Гербор"
"Подставка 80 2s"|"GB-0071",1,"80/53/50"|"яблоня темная/орех аоста темный"|"Виктор"|"Шкаф"|"Гербор"
"Подставка 80 2d"|"GB-0072",1,"80/53/50"|"яблоня темная/орех аоста темный"|"Виктор"|"Шкаф"|"Гербор"
"Витрина 70 (надставка)"|"GB-0073",1,"78/161,5/45,5"|"яблоня темная/орех аоста темный"|"Виктор"|"Шкаф"|"Гербор"
"Подставка 70 2s"|"GB-0074",1,"70/53/50"|"яблоня темная/орех аоста темный"|"Виктор"|"Шкаф"|"Гербор"
"Пенал"|"GB-0075",1,"53/214/51"|"яблоня темная/орех аоста темный"|"Виктор"|"Шкаф"|"Гербор"
"Шкаф"|"GB-0076",1,"98/214/65,5"|"яблоня темная/орех аоста темный"|"Виктор"|"Шкаф"|"Гербор"
"Бар 80"|"GB-0077",1,"80/131,5/36,5"|"яблоня темная/орех аоста темный"|"Виктор"|"Шкаф"|"Гербор"
"Тумба РТВ"|"GB-0078",1,"80/51,5/50"|"яблоня темная/орех аоста темный"|"Виктор"|"Тумба РТВ"|"Гербор"
"Стол журнальный"|"GB-0079",1,"110/53,5/60"|"яблоня темная/орех аоста темный"|"Виктор"|"Стол журнальный"|"Гербор"
"Виктория"|"GB-0080",1,"413/213/54,5"|"яблоня локарно"|"Виктория"|"Гостинная"|"Гербор"
