parent|id|pagetitle|tv1|tv2|tv3|tv4|tv5|tv6|tv7|tv8
0001|XXl век|GB-0001|1|226/189,5/59,5|ольха|XXl век|Детские|Гербор
0002|Адась|GB-0002|1|267/196/56|яблоня темная/орех аоста темный|Адась|Гостинная|Гербор
0003|4S|GB-0003|1|85/92/45|Корпус:венге магия, Фасад: зебрано-африканское/венге светлое/маккасар|Амадеус|комод|Гербор
0004|5S|GB-0004|1|59,5/113/45|Корпус:венге магия, Фасад: зебрано-африканское/венге светлое/маккасар|Амадеус|комод|Гербор
0005|Секция РТВ|GB-0005|1|210/219/50,5|Корпус:венге магия, Фасад: зебрано-африканское/венге светлое/маккасар|Амадеус|Тумбы РТВ|Гербор
0006|Пенал угловой|GB-0006|1|35/219/35|Корпус:венге магия, Фасад: зебрано-африканское/венге светлое/маккасар|Амадеус|Пенал|Гербор
0007|Шкаф|GB-0007|1|99,6/219/50,6|Корпус:венге магия, Фасад: зебрано-африканское/венге светлое/маккасар|Амадеус|Шкаф|Гербор
0008|Пенал|GB-0008|1|52,1/219/35,1|Корпус:венге магия, Фасад: зебрано-африканское/венге светлое/маккасар|Амадеус|Пенал|Гербор
0009|Астерикс|GB-0009|1|330/200,5/50,5|Корпус:венге магия, Фасад: зебрано-африканское/венге светлое/маккасар|Астерикс|Гостинная|Гербор
0010|Болеро|GB-0010|1|335/213/54|орех экко|Болеро|Гостинная|Гербор
0011|Стол журнальный |GB-0011|1|110/53,5/60|орех экко|Борис|Журнальные столики|Гербор
0012|КОМОД 60|GB-0012|1|60/74/52|орех экко|Борис|комод|Гербор
0013|КОМОД 90|GB-0013|1|90/74/52|орех экко|Борис|комод|Гербор
0014|Тумба РТВ|GB-0014|1|90/46,5/52|орех экко|Борис|Тумбы РТВ|Гербор
0015|Шкаф угловой |GB-0015|1|90/235,5/35,5-90|Ольха/орех экко|Борис|Шкаф|Гербор
0016|Шкаф|GB-0016|1|90/235,5/52|Ольха/орех экко|Борис|Шкаф|Гербор
0017|Шкаф бельевой|GB-0017|1|90/194,5/35,5|Ольха/орех экко|Борис|Шкаф|Гербор
0018|Бар(надставка)|GB-0018|1|90/194,5/35,5|Ольха/орех экко|Борис|Шкаф|Гербор
0019|Секция РТВ (надставка)|GB-0019|1|90/194,5/35,5|Ольха/орех экко|Борис|Шкаф|Гербор
0020|Витрина РТВ (надставка)|GB-0020|1|90/194,5/35,6|Ольха/орех экко|Борис|Шкаф|Гербор
0021|Витрина высокая|GB-0021|1|60/235,5/35,5|Ольха/орех экко|Борис|Шкаф|Гербор
0022|Витрина (надставка)|GB-0022|1|60/194,5/35,5|Ольха/орех экко|Борис|Шкаф|Гербор
